Rat,Genotype,Ear,dB,RMS,W1 Lat,W1 Amp
53,WT,Right,60,0.3964,1.4727,1.11
53,WT,Right,70,0.4627,1.3636,1.34
53,WT,Right,80,0.4209,1.2909,1.76
53,WT,Right,90,0.4682,1.2182,1.92
,,,,,,
66,WT,Left,20,0.0939,2.0182,0.084
66,WT,Left,30,0.2169,1.8727,0.2016
66,WT,Left,40,0.3546,1.6182,0.6148
66,WT,Left,50,0.4887,1.5091,0.8
66,WT,Left,60,0.5221,1.3636,1.02
66,WT,Left,70,0.6209,1.2909,1.072
66,WT,Left,80,0.7257,1.2545,1.616
66,WT,Left,90,0.7922,1.1818,1.86
,,,,,,
66,WT,Right,20,0.0775,2.0182,0.0976
66,WT,Right,30,0.1886,1.8364,0.192
66,WT,Right,40,0.3374,1.8,0.424
66,WT,Right,50,0.449,1.5091,0.83
66,WT,Right,60,0.4995,1.3636,0.98
66,WT,Right,70,0.5429,1.3273,1.47
66,WT,Right,80,0.5413,1.2182,1.404
66,WT,Right,90,0.6734,1.1818,2.064
,,,,,,
152,WT,Left,20,0.100625106,1.981818182,0.1128
152,WT,Left,30,0.190850878,1.654545455,0.3192
152,WT,Left,40,0.333074395,1.472727273,0.44
152,WT,Left,50,0.433210695,1.327272727,0.69
152,WT,Left,60,0.497556202,1.218181818,1.288
152,WT,Left,70,0.568008269,1.145454545,1.554
152,WT,Left,80,0.701311182,1.072727273,1.712
152,WT,Left,90,0.78327245,1.072727273,1.94
,,,,,,
152,WT,Right,20,0.107838521,1.909090909,0.0456
152,WT,Right,30,0.208321072,1.618181818,0.3216
152,WT,Right,40,0.33319921,1.509090909,0.46001868
152,WT,Right,50,0.475736936,1.363636364,0.876
152,WT,Right,60,0.573331471,1.254545455,1.372
152,WT,Right,70,0.683633713,1.181818182,1.856
152,WT,Right,80,0.708498832,1.072727273,2.032
152,WT,Right,90,0.782998972,1.036363636,2.176
,,,,,,
153,WT,Left,20,0.113188499,2.018181818,0.1464
153,WT,Left,30,0.254406249,1.618181818,0.39
153,WT,Left,40,0.448988912,1.545454545,0.61
153,WT,Left,50,0.568774515,1.363636364,0.938
153,WT,Left,60,0.660765432,1.290909091,2.184
153,WT,Left,70,0.760439727,1.181818182,1.42
153,WT,Left,80,0.807684403,1.145454545,1.48
153,WT,Left,90,0.844975665,1.072727273,1.52
,,,,,,
153,WT,Right,20,0.106701405,1.836363636,0.176
153,WT,Right,30,0.220373792,1.690909091,0.3136
153,WT,Right,40,0.39991976,1.509090909,1.26
153,WT,Right,50,0.509856697,1.4,1.956
153,WT,Right,60,0.57417981,1.327272727,2.316
153,WT,Right,70,0.678679106,1.218181818,3.024
153,WT,Right,80,0.687121373,1.145454545,2.88
153,WT,Right,90,0.735320321,1.109090909,3.104
